country_or_territory,zone,region,subregion,life_expectancy,fertility_rate,num_colors,primary_color,secondary_color,most_ranked_color,currency_primary,currency_secondary,languages_primary,languages_secondary,religion_primary,religion_secondary,pop2023,density,hdiTier,area,landAreaKm,growthRate,hdi2021,densityMi,country_or_territory_status
Haiti,NW,Americas,Caribbean,65,2,2,darkblue,crimson,crimson,Haitian gourde,Haitian gourde,French,Haitian Creole,Christianity,Folk religions,11724763.0,425.4268,Low,27750.0,27560.0,0.01206,0.535,1101.8554,Developing
Heard Island and McDonald Islands,NE,Antarctic,Other,0,0,3,darkblue,white,white,Other,Other,English,English,Other,Other,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Honduras,NW,Americas,Central America,70,2,2,dodgerblue,white,white,Honduran lempira,Honduran lempira,Spanish,Spanish,Christianity,Catholicism,10593798.0,94.6805,Medium,112492.0,111890.0,0.01543,0.621,245.2224,Developing
Hong Kong,NE,Asia,Eastern Asia,85,0,2,orangered,white,white,Hong Kong dollar,Hong Kong dollar,English,Chinese,Other,Other,7491609.0,7134.8657,Very High,1104.0,1050.0,0.00037,0.952,18479.3022,Developed
Hungary,NE,Europe,Central Europe,75,1,3,darkolivegreen,white,white,Hungarian forint,Hungarian forint,Hungarian,Hungarian,Christianity,Christian,10156239.0,111.2891,Very High,93028.0,91260.0,0.01896,0.846,288.2386,Developed
Iceland,NW,Europe,Northern Europe,85,1,3,teal,crimson,white,Icelandic krona,Icelandic krona,Icelandic,Icelandic,Christianity,Christian,375318.0,3.7223,Very High,103000.0,100830.0,0.00649,0.959,9.6407,Developed
India,NE,Asia,Southern Asia,70,2,3,green,coral,white,Indian rupee,Indian rupee,English,Tamil,Christianity,Islam,1428627663.0,480.5033,Medium,3287590.0,2973190.0,0.00808,0.633,1244.5036,Developing
Indonesia,SE,Asia,South-Eastern Asia,70,2,2,white,red,white,Indonesian rupiah,Indonesian rupiah,Indonesian,Indonesian,Christianity,Islam,277534122.0,147.8196,High,1904569.0,1877519.0,0.00738,0.705,382.8528,Developing
Iran,NE,Asia,Southern Asia,75,1,3,white,red,white,Iranian rial,Iranian rial,Persian (Farsi),Persian (Farsi),Shia Islam,Shia Islam,89172767.0,54.9601,High,1648195.0,1622500.0,0.00703,0.774,142.3467,Developing
Iraq,NE,Asia,Western Asia,70,3,3,black,crimson,white,Iraqi dinar,Iraqi dinar,Arabic,Aramaic,Christianity,Islam,45504560.0,104.8183,Medium,438317.0,434128.0,0.02266,0.686,271.4794,Developing
Ireland,NW,Europe,Northern Europe,80,1,3,seagreen,coral,white,Euro,Euro,English,Irish,Other,Other,5056935.0,73.4059,Very High,70273.0,68890.0,0.00673,0.945,190.1214,Developed
Isle of Man,NW,Europe,Northern Europe,80,1,1,crimson,crimson,crimson,British pound,Manx pound,English,Manx,Christianity,Islam,84710.0,148.614,Other,572.0,570.0,0.00226,0.0,384.9104,Developing
Israel,NE,Asia,Western Asia,80,2,2,white,mediumblue,white,Israeli new shekel,Israeli new shekel,Arabic,Hebrew,Christianity,Islam,9174520.0,423.9612,Very High,20770.0,21640.0,0.01507,0.919,1098.0595,Developed
Italy,NE,Europe,Southern Europe,80,1,3,seagreen,crimson,white,Euro,Euro,Italian,Italian,Christianity,Islam,58870762.0,199.078,Very High,301336.0,295717.0,-0.00282,0.895,515.6121,Developed
Ivory Coast,NW,Africa,Western Africa,60,4,3,teal,darkorange,white,West African CFA franc,West African CFA franc,French,French,Other,Other,28873034.0,90.7957,Medium,322463.0,318000.0,0.0253,0.55,235.1609,Developing
Jamaica,NW,Americas,Caribbean,70,1,3,gold,forestgreen,gold,Jamaican dollar,Jamaican dollar,English,Jamaican Patois,Christianity,Christian,2825544.0,260.8997,High,10991.0,10830.0,-0.00065,0.709,675.7303,Developing
Japan,NE,Asia,Eastern Asia,85,1,2,white,firebrick,white,Japanese yen,Japanese yen,Japanese,Japanese,Other,Other,123294513.0,338.2566,Very High,377930.0,364500.0,-0.0053,0.925,876.0845,Developed
Jersey,NW,Europe,Northern Europe,0,0,2,white,crimson,white,British pound,Jersey pound,English,French,Christian,Anglican,111802.0,931.6833,Other,116.0,120.0,0.00924,0.0,2413.0598,Developing
Jordan,NE,Asia,Western Asia,75,2,4,black,forestgreen,white,Jordanian dinar,Jordanian dinar,Arabic,Arabic,Christianity,Sunni Islam,11337052.0,127.6781,High,89342.0,88794.0,0.00454,0.72,330.6864,Developing
Kazakhstan,NE,Asia,Central Asia,70,3,2,darkturquoise,gold,gold,Kazakhstani tenge,Kazakhstani tenge,Russian,Kazakh,Christianity,Islam,19606633.0,7.2625,Very High,2724900.0,2699700.0,0.01076,0.811,18.8099,Developed
Kenya,NE,Africa,Eastern Africa,60,3,4,black,darkred,white,Kenyan shilling,Kenyan shilling,English,Swahili,Christianity,Islam,55100586.0,96.8138,Medium,580367.0,569140.0,0.01986,0.575,250.7477,Developing
Kiribati,NE,Oceania,Micronesia,65,3,4,firebrick,white,white,Australian dollar,Kiribati dollar,English,Gilbertese,Christianity,Christian,133515.0,164.8333,Medium,811.0,810.0,0.0174,0.624,426.9183,Developing
Kosovo,NE,Europe,Southeast Europe,0,0,2,darkslateblue,peru,darkslateblue,Euro,Euro,Serbian,Albanian,Christianity,Islam,0.0,0.0,Other,0.0,0.0,0.0,0.0,0.0,Unknown
Kuwait,NE,Asia,Western Asia,75,2,4,forestgreen,crimson,white,Kuwaiti dinar,Kuwaiti dinar,Arabic,Arabic,Christianity,Islam,4310108.0,241.8691,Very High,17818.0,17820.0,0.00966,0.831,626.4411,Developed
Kyrgyzstan,NE,Asia,Central Asia,70,3,2,red,yellow,red,Kyrgyzstani som,Kyrgyzstani som,Russian,Kyrgyz,Christianity,Islam,6735347.0,35.1165,Medium,199951.0,191800.0,0.01579,0.692,90.9518,Developing
Laos,NE,Asia,South-Eastern Asia,70,2,3,crimson,midnightblue,white,Lao kip,Lao kip,Lao,Lao,Christianity,Buddhism,7633779.0,33.0753,Medium,236800.0,230800.0,0.01385,0.607,85.665,Developing
Latvia,NE,Europe,Northern Europe,75,1,2,brown,white,white,Euro,Euro,Latvian,Latvian,Christianity,Christian,1830211.0,29.4104,Very High,64559.0,62230.0,-0.01105,0.863,76.173,Developed
